subject_id,session_id,run,localizer,trialNumber,stim_onset,stim_onset_lsl_time,stim_onset_unix_time,stop_onset,stop_onset_lsl_time,stop_onset_unix_time,response_onset,response_onset_lsl_time,response_onset_unix_time,outcome_lsl_time,marker_code,stimulus,stop,response,response_key,rt,ssd,go_correct,go_incorrect,go_miss,stop_success,stop_failure_arrowcorrect,outcome,run_start_lsl_time,run_end_lsl_time,run_start_task_time,run_end_task_time
sub-10052,ses-1,run-01,0,1,1.3793388999911258,101039.8831135,1789670611849.5105,,,,2.091439599986188,101040.5953534,1789670612561.4985,101040.5953832,133,right,0,True,0,0.7121006999950623,0.25,1,0,0,0,,go_correct,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,2,6.795701600000029,101045.2994777,1789670617265.4238,7.045701600000029,101045.5513047,1789670617517.4275,7.139405900001293,101045.643321,1789670617609.4248,101045.643353,132,left,1,True,1,0.3437043000012636,0.25,0,0,0,0,True,stop_failure,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,3,13.393366499993135,101051.8971417,1789670623863.077,13.593366499993135,101052.0988803,1789670624065.0815,13.891473999989103,101052.3953941,1789670624362.0706,101052.3954246,132,right,1,True,0,0.4981074999959674,0.2,0,0,0,0,True,stop_failure,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,4,19.81686500000069,101058.3206399,1789670630286.2444,19.966865000000688,101058.4723049,1789670630438.245,20.147533600000315,101058.6514397,1789670630617.245,101058.6514667,132,left,1,True,1,0.33066859999962617,0.15,0,0,0,0,True,stop_failure,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,5,25.303067499989993,101063.8068424,1789670635772.4893,,,,26.13963039999362,101064.6435431,1789670636609.482,101064.6435732,133,right,0,True,0,0.8365629000036279,0.1,1,0,0,0,,go_correct,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,6,30.004280099994503,101068.5080535,1789670640473.7666,,,,30.45142179999675,101068.9553782,1789670640921.755,101068.955409,133,right,0,True,0,0.4471417000022484,0.1,1,0,0,0,,go_correct,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,7,35.89298140000028,101074.3967569,1789670646362.1738,35.99298140000028,101074.4984767,1789670646464.167,,,,101075.8968181,131,left,1,False,,,0.1,0,0,0,1,,stop_success,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,8,41.71053369999572,101080.214308,1789670652179.6497,41.86053369999572,101080.36615,1789670652331.6536,,,,101081.7143554,131,right,1,False,,,0.15,0,0,0,1,,stop_success,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,9,47.499834399990505,101086.0036097,1789670657968.8665,,,,47.86753589998989,101086.3715202,1789670658336.861,101086.3715539,133,left,0,True,1,0.3677014999993844,0.2,1,0,0,0,,go_correct,101038.5037148,101398.5132354,0.0,360.00471210479736
sub-10052,ses-1,run-01,0,10,51.65333049999026,101090.1571068,1789670662122.4292,51.853330499990264,101090.3588373,1789670662324.425,52.04348619999655,101090.5474258,1789670662513.4155,101090.5474556,132,left,1,True,1,0.3901557000062894,0.2,0,0,0,0,True,stop_failure,101038.5037148,101398.5132354,0.0,360.00471210479736
