subject_id,session_id,run,localizer,trialNumber,stim_onset,stim_onset_lsl_time,stim_onset_unix_time,stop_onset,stop_onset_lsl_time,stop_onset_unix_time,response_onset,response_onset_lsl_time,response_onset_unix_time,outcome_lsl_time,marker_code,stimulus,stop,response,response_key,rt,ssd,go_correct,go_incorrect,go_miss,stop_success,stop_failure_arrowcorrect,outcome,run_start_lsl_time,run_end_lsl_time,run_start_task_time,run_end_task_time
sub-10034,ses-1,run-01,0,1,2.1599277000059374,175002.3400708,1789744576070.0603,2.4099277000059374,175002.5917765,1789744576321.7446,,,,175003.8401628,131,right,1,False,,,0.25,0,0,0,1,,stop_success,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,2,8.42283250001492,175008.6029787,1789744582333.0298,8.72283250001492,175008.9046822,1789744582634.391,,,,175010.103026,131,left,1,False,,,0.3,0,0,0,1,,stop_success,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,3,14.583612699992955,175014.7637561,1789744588493.9902,,,,15.158836799993878,175015.3391331,1789744589069.0469,175015.3391567,133,right,0,True,0,0.5752241000009235,0.35,1,0,0,0,,go_correct,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,4,19.153008199995384,175019.3331512,1789744593063.5378,,,,19.614893999998458,175019.7952519,1789744593525.7832,175019.7952811,133,left,0,True,1,0.4618858000030741,0.35,1,0,0,0,,go_correct,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,5,24.63362189999316,175024.8137655,1789744598544.2627,24.98362189999316,175025.1653774,1789744598895.9,25.054873499990208,175025.2351818,1789744598965.3413,175025.2352053,132,right,1,True,0,0.4212515999970492,0.35,0,0,0,0,True,stop_failure,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,6,27.72633470001165,175027.9064798,1789744601636.8901,,,,28.302785000036238,175028.4830487,1789744602212.921,175028.4830738,133,right,0,True,0,0.5764503000245895,0.3,1,0,0,0,,go_correct,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,7,32.433766700007254,175032.6139121,1789744606344.4998,32.73376670000725,175032.9154947,1789744606645.7402,,,,175034.1139574,131,right,1,False,,,0.3,0,0,0,1,,stop_success,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,8,37.99451580000459,175038.1746584,1789744611904.8672,,,,38.48683710000478,175038.6671063,1789744612397.5305,175038.6671308,133,left,0,True,1,0.49232130000018515,0.35,1,0,0,0,,go_correct,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,9,42.03793720001704,175042.2180799,1789744615948.9922,42.38793720001704,175042.5699626,1789744616300.9216,,,,175043.7183314,131,right,1,False,,,0.35,0,0,0,1,,stop_success,175000.1800961,175363.9560963,0.0,363.7844252586365
sub-10034,ses-1,run-01,0,10,48.358557700004894,175048.5387151,1789744622269.6836,,,,48.942725900007645,175049.1230655,1789744622853.9028,175049.1231041,133,right,0,True,0,0.5841682000027504,0.4,1,0,0,0,,go_correct,175000.1800961,175363.9560963,0.0,363.7844252586365
