subject_id,session_id,run,localizer,trialNumber,stim_onset,stim_onset_lsl_time,stim_onset_unix_time,stop_onset,stop_onset_lsl_time,stop_onset_unix_time,response_onset,response_onset_lsl_time,response_onset_unix_time,outcome_lsl_time,marker_code,stimulus,stop,response,response_key,rt,ssd,go_correct,go_incorrect,go_miss,stop_success,stop_failure_arrowcorrect,outcome,run_start_lsl_time,run_end_lsl_time,run_start_task_time,run_end_task_time
sub-10052,ses-1,run-01,0,1,1.9350594999996247,104762.1901251,1789674334088.747,,,,2.953627499999129,104763.2088437,1789674335107.089,104763.2088704,133,right,0,True,0,1.0185679999995045,0.25,1,0,0,0,,go_correct,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,2,8.22045259999868,104768.4755172,1789674340374.0178,,,,8.649817500001518,104768.9050864,1789674340803.5332,104768.9051293,133,left,0,True,1,0.4293649000028381,0.25,1,0,0,0,,go_correct,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,3,15.062134399995557,104775.3172255,1789674347214.868,,,,15.873645500003477,104776.1288656,1789674348026.4873,104776.1288904,133,left,0,True,1,0.8115111000079196,0.25,1,0,0,0,,go_correct,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,4,21.720106900000246,104781.9751725,1789674353873.3748,,,,22.657675000009476,104782.9128971,1789674354810.82,104782.912923,133,left,0,True,1,0.93756810000923,0.25,1,0,0,0,,go_correct,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,5,28.945624100000714,104789.2006908,1789674361098.7212,29.195624100000714,104789.452435,1789674361350.5127,,,,104790.7007374,131,left,1,False,,,0.25,0,0,0,1,,stop_success,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,6,34.75532620000013,104795.010392,1789674366908.249,,,,35.57768550000037,104795.8329214,1789674367730.9766,104795.8329484,133,left,0,True,1,0.8223593000002438,0.3,1,0,0,0,,go_correct,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,7,40.34675409999909,104800.6018197,1789674372499.6655,40.646754099999086,104800.9033952,1789674372801.2292,,,,104802.1018769,131,left,1,False,,,0.3,0,0,0,1,,stop_success,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,8,45.82229830000142,104806.0773641,1789674377975.104,,,,46.75370410000323,104807.008927,1789674378906.203,104807.0089514,133,left,0,True,1,0.9314058000018122,0.35,1,0,0,0,,go_correct,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,9,52.220409999994445,104812.4754762,1789674384373.0068,,,,53.28169940000225,104813.5369145,1789674385433.95,104813.5369395,133,right,0,True,0,1.0612894000078086,0.35,1,0,0,0,,go_correct,104760.255015,105120.8365843,0.0,360.5745599269867
sub-10052,ses-1,run-01,0,10,56.204263899999205,104816.45933,1789674388356.7769,,,,57.409690499989665,104817.6649099,1789674389561.6924,104817.6649342,133,right,0,True,0,1.20542659999046,0.35,1,0,0,0,,go_correct,104760.255015,105120.8365843,0.0,360.5745599269867
